column,response_code,question_weight,response_difference_pp,response_ratio,max_contribution
family_r,1.0,22.93098341879662,-61.34427360536172,0.0,0.0
family_r,2.0,22.93098341879662,-0.45527301399566344,0.0,0.0
family_r,3.0,22.93098341879662,7.155667258032722,0.28462922074256214,6.526827941352696
family_r,4.0,22.93098341879662,2.9262172284644192,0.11639542469310818,2.6690615536614546
family_r,5.0,22.93098341879662,25.140311452789277,1.0,22.93098341879662
family_r,6.0,22.93098341879662,4.045692883895131,0.16092453315435232,3.6901578014400402
family_r,7.0,22.93098341879662,17.25422826729746,0.6863172041324545,15.737928427996168
family_r,8.0,22.93098341879662,5.489591957421644,0.21835815231368516,5.007167170064181
a2_relation,1.0,15.487126994141137,-53.5171299034102,0.0,0.0
a2_relation,2.0,15.487126994141137,7.477409816676523,0.29590230432001496,4.582676564863069
a2_relation,3.0,15.487126994141137,12.668657599053814,0.5013346958516,7.764234101222851
a2_relation,4.0,15.487126994141137,1.2888231815493791,0.05100238700719223,0.78988044458472
a2_relation,6.0,15.487126994141137,3.080879164202641,0.12191912257983992,1.888176934408241
a2_relation,7.0,15.487126994141137,3.318154937906564,0.13130879760363198,2.033596023935424
a2_relation,8.0,15.487126994141137,25.269860043366844,1.0,15.487126994141137
everhomeless,1.0,11.435785479400682,19.964991129509166,1.0,11.435785479400682
everhomeless,2.0,11.435785479400682,-23.229213483146072,0.0,0.0
everhomeless,3.0,11.435785479400682,3.0287995269071555,0.15170552830501646,1.7348718777353165
a1_relation,1.0,11.259355744684814,-30.850029568302773,0.0,0.0
a1_relation,2.0,11.259355744684814,2.5235757934161245,0.12062511247859961,1.3581610531391723
a1_relation,3.0,11.259355744684814,20.920816085156712,1.0,11.259355744684814
a1_relation,4.0,11.259355744684814,2.1210723437808,0.10138573634733579,1.1415380729714752
a1_relation,6.0,11.259355744684814,4.270825941257638,0.204142416045031,2.2985120848304574
a1_relation,7.0,11.259355744684814,1.1450029568302778,0.054730319896204034,0.6162281417317624
a1_marital,1.0,9.353512422179401,-41.016991917997245,0.0,0.0
a1_marital,2.0,9.353512422179401,2.415296668637886,0.14785924602983055,1.3830032944741004
a1_marital,3.0,9.353512422179401,14.54133648728563,0.8901892165854132,8.326395895421811
a1_marital,4.0,9.353512422179401,16.335107431500095,1.0,9.353512422179401
a1_marital,5.0,9.353512422179401,4.445042381233984,0.2721158951585655,2.54523940563811
a1_marital,6.0,9.353512422179401,2.7014981273408236,0.16537988125693875,1.546882773715331
foodsit,1.0,8.088277221249959,-36.54902424600828,0.0,0.0
foodsit,2.0,8.088277221249959,20.314232209737824,1.0,8.088277221249959
foodsit,3.0,8.088277221249959,12.796215257244233,0.6299138025561332,5.094917460565716
foodsit,4.0,8.088277221249959,3.0952887837571454,0.15237045396544147,1.2324144720001957
a2_marital,1.0,7.997866412366676,-41.820145870293715,0.0,0.0
a2_marital,2.0,7.997866412366676,2.6759708259412576,0.44869722720767347,3.5886204828063106
a2_marital,3.0,7.997866412366676,5.9638675340035485,1.0,7.997866412366676
a2_marital,4.0,7.997866412366676,4.321052631578947,0.7245386667195509,5.79476346701723
a2_marital,5.0,7.997866412366676,1.6716341415336091,0.2802936403269574,2.241751091570958
a2_marital,6.0,7.997866412366676,1.5691898285038437,0.2631161439379666,2.104367770152899
k7q04r_r,1.0,4.892776411611051,-15.650699783165777,0.0,0.0
k7q04r_r,2.0,4.892776411611051,5.547703528484132,0.2494321117643045,1.2204155527387202
k7q04r_r,3.0,4.892776411611051,22.24133648728563,1.0,4.892776411611051
homeevic,1.0,4.336808590425748,5.1390301596688355,0.4447156718251045,1.928646745868071
homeevic,2.0,4.336808590425748,3.3972008673368816,0.2939831873140643,1.2749488121843757
homeevic,3.0,4.336808590425748,11.555765819041985,1.0,4.336808590425748
homeevic,4.0,4.336808590425748,6.3335698797555695,0.5480874205082018,2.376950233564259
homeevic,5.0,4.336808590425748,-26.702365464222353,0.0,0.0
bullied_r,1.0,4.217507305143917,-13.16073329390893,0.0,0.0
bullied_r,2.0,4.217507305143917,4.166922925290756,0.5047649748677723,2.128849968885615
bullied_r,3.0,4.217507305143917,8.255174452986399,1.0,4.217507305143917
bullied_r,4.0,4.217507305143917,7.818844864971417,0.9471447162625213,3.994589759865646
bullied_r,5.0,4.217507305143917,5.557796175832841,0.673249997015175,2.8394367805996206
