column,response_code,question_weight,response_difference_pp,response_ratio,score_method,max_contribution
family_r,1.0,34.742292248881434,-61.34427360536172,0.0,위험군 응답 차이,0.0
family_r,2.0,34.742292248881434,-0.45527301399566344,0.0,위험군 응답 차이,0.0
family_r,3.0,34.742292248881434,7.155667258032722,0.28462922074256214,위험군 응답 차이,9.88867156960948
family_r,4.0,34.742292248881434,2.9262172284644192,0.11639542469310818,위험군 응답 차이,4.043843861120635
family_r,5.0,34.742292248881434,25.140311452789277,1.0,위험군 응답 차이,34.742292248881434
family_r,6.0,34.742292248881434,4.045692883895131,0.16092453315435232,위험군 응답 차이,5.590887160863318
family_r,7.0,34.742292248881434,17.25422826729746,0.6863172041324545,위험군 응답 차이,23.84423288140495
family_r,8.0,34.742292248881434,5.489591957421644,0.21835815231368516,위험군 응답 차이,7.586262742607816
everhomeless,1.0,13.613450288627327,19.964991129509166,1.0,위험군 응답 차이,13.613450288627327
everhomeless,2.0,13.613450288627327,-23.229213483146072,0.0,위험군 응답 차이,0.0
everhomeless,3.0,13.613450288627327,3.0287995269071555,0.15170552830501646,위험군 응답 차이,2.0652356680902875
a1_relation,1.0,13.470286315138596,-30.850029568302773,0.0,위험군 응답 차이,0.0
a1_relation,2.0,13.470286315138596,2.5235757934161245,0.12062511247859961,위험군 응답 차이,1.6248548018825342
a1_relation,3.0,13.470286315138596,20.920816085156712,1.0,위험군 응답 차이,13.470286315138596
a1_relation,4.0,13.470286315138596,2.1210723437808,0.10138573634733579,위험군 응답 차이,1.365694896869767
a1_relation,6.0,13.470286315138596,4.270825941257638,0.204142416045031,위험군 응답 차이,2.7498567931907107
a1_relation,7.0,13.470286315138596,1.1450029568302778,0.054730319896204034,위험군 응답 차이,0.7372330791209948
a1_marital,1.0,12.155727894646667,-41.016991917997245,0.0,위험군 응답 차이,0.0
a1_marital,2.0,12.155727894646667,2.415296668637886,0.14785924602983055,위험군 응답 차이,1.7973367614462357
a1_marital,3.0,12.155727894646667,14.54133648728563,0.8901892165854132,위험군 응답 차이,10.82089789156097
a1_marital,4.0,12.155727894646667,16.335107431500095,1.0,위험군 응답 차이,12.155727894646667
a1_marital,5.0,12.155727894646667,4.445042381233984,0.2721158951585655,위험군 응답 차이,3.3077667773557224
a1_marital,6.0,12.155727894646667,2.7014981273408236,0.16537988125693875,위험군 응답 차이,2.0103128358083238
foodsit,1.0,9.274015227419847,-36.54902424600828,0.0,코드북 응답 순서,0.0
foodsit,2.0,9.274015227419847,20.314232209737824,0.3333333333333333,코드북 응답 순서,3.091338409139949
foodsit,3.0,9.274015227419847,12.796215257244233,0.6666666666666666,코드북 응답 순서,6.182676818279898
foodsit,4.0,9.274015227419847,3.0952887837571454,1.0,코드북 응답 순서,9.274015227419847
k7q04r_r,1.0,6.2836034408427635,-15.650699783165777,0.0,코드북 응답 순서,0.0
k7q04r_r,2.0,6.2836034408427635,5.547703528484132,0.5,코드북 응답 순서,3.1418017204213817
k7q04r_r,3.0,6.2836034408427635,22.24133648728563,1.0,코드북 응답 순서,6.2836034408427635
homeevic,1.0,5.4821752279934035,5.1390301596688355,1.0,코드북 응답 순서,5.4821752279934035
homeevic,2.0,5.4821752279934035,3.3972008673368816,0.75,코드북 응답 순서,4.111631420995053
homeevic,3.0,5.4821752279934035,11.555765819041985,0.5,코드북 응답 순서,2.7410876139967018
homeevic,4.0,5.4821752279934035,6.3335698797555695,0.25,코드북 응답 순서,1.3705438069983509
homeevic,5.0,5.4821752279934035,-26.702365464222353,0.0,코드북 응답 순서,0.0
bullied_r,1.0,4.9784493564499614,-13.16073329390893,0.0,코드북 응답 순서,0.0
bullied_r,2.0,4.9784493564499614,4.166922925290756,0.25,코드북 응답 순서,1.2446123391124904
bullied_r,3.0,4.9784493564499614,8.255174452986399,0.5,코드북 응답 순서,2.4892246782249807
bullied_r,4.0,4.9784493564499614,7.818844864971417,0.75,코드북 응답 순서,3.7338370173374713
bullied_r,5.0,4.9784493564499614,5.557796175832841,1.0,코드북 응답 순서,4.9784493564499614
